,symbol,B_FSI_vs_Ctrl_baseMean,B_FSI_vs_Ctrl_log2FoldChange,B_FSI_vs_Ctrl_pvalue,B_FSI_vs_Ctrl_padj
ENSMUSG00000000001,Gnai3,1004.968217,0.413770771,0.218378462,0.538873822
ENSMUSG00000000028,Cdc45,31.9929199,-0.1985503,0.730494564,0.898253991
ENSMUSG00000000031,H19,0.876663376,1.128123886,0.802573451,NA
ENSMUSG00000000037,Scml2,1.014369166,1.108734758,0.733092782,NA
ENSMUSG00000000049,Apoh,36.78984954,2.926382875,0.021151113,0.150805767
ENSMUSG00000000056,Narf,191.3838283,-0.367170305,0.487031345,0.76698558
ENSMUSG00000000058,Cav2,1212.844921,-0.899633865,0.015856612,0.127474366
ENSMUSG00000000078,Klf6,2572.449925,-0.064730195,0.902758073,0.967061063
ENSMUSG00000000085,Scmh1,230.7458749,-0.354080516,0.249769594,0.573460292
ENSMUSG00000000088,Cox5a,7488.923046,0.615671458,0.101109766,0.364599131
ENSMUSG00000000093,Tbx2,570.041301,-0.520350328,0.298674072,0.621036842
ENSMUSG00000000094,Tbx4,1.170156839,-3.117465819,0.377460102,NA
ENSMUSG00000000120,Ngfr,0.768524777,0,1,NA
ENSMUSG00000000125,Wnt3,0.263056515,0,1,NA
ENSMUSG00000000126,Wnt9a,14.00458714,-0.455919505,0.668241732,0.868692932
ENSMUSG00000000127,Fer,105.4215499,-0.356834245,0.333890089,0.651324087
ENSMUSG00000000131,Xpo6,226.1382061,0.310868299,0.402142728,0.711343088
ENSMUSG00000000134,Tfe3,320.932901,0.27578656,0.472572904,0.760286819
ENSMUSG00000000142,Axin2,2.928353003,-0.157105224,0.920585652,NA
ENSMUSG00000000148,Brat1,132.3739541,-1.288684474,0.016562724,0.130982937
ENSMUSG00000000149,Gna12,1034.739744,-0.717052865,0.115011067,0.388913979
ENSMUSG00000000154,Slc22a18,4418.587169,0.473000606,0.27264794,0.596076286
ENSMUSG00000000157,Itgb2l,1.383750227,4.124706678,0.16725696,NA
ENSMUSG00000000159,Igsf5,476.4945779,0.407854899,0.27626097,0.600116787
ENSMUSG00000000167,Pih1d2,38.60322964,-0.216241748,0.662736956,0.866512887
ENSMUSG00000000168,Dlat,1277.661109,-0.004314615,0.991377538,0.997435957
ENSMUSG00000000171,Sdhd,5502.52077,0.141291897,0.596671175,0.836458599
ENSMUSG00000000182,Fgf23,1.129454849,1.31660569,0.749284692,NA
ENSMUSG00000000184,Ccnd2,2798.860466,-0.343167031,0.489308067,0.767375002
ENSMUSG00000000194,Gpr107,430.064081,0.276310606,0.423573864,0.728289044
ENSMUSG00000000197,Nalcn,0.759330017,0,1,NA
