,symbol,In_FSI_vs_Ctrl_baseMean,In_FSI_vs_Ctrl_log2FoldChange,In_FSI_vs_Ctrl_pvalue,In_FSI_vs_Ctrl_padj
ENSMUSG00000000001,Gnai3,1004.968217,-0.043218734,0.897794136,1
ENSMUSG00000000028,Cdc45,31.9929199,0.169021304,0.777656243,1
ENSMUSG00000000031,H19,0.876663376,0,1,NA
ENSMUSG00000000037,Scml2,1.014369166,-2.888990869,0.371407402,NA
ENSMUSG00000000049,Apoh,36.78984954,3.016529574,0.00752629,0.184467669
ENSMUSG00000000056,Narf,191.3838283,0.196871896,0.705458834,1
ENSMUSG00000000058,Cav2,1212.844921,-0.121195901,0.746240923,1
ENSMUSG00000000078,Klf6,2572.449925,0.6947782,0.190720174,0.844026097
ENSMUSG00000000085,Scmh1,230.7458749,-0.049897344,0.870559546,1
ENSMUSG00000000088,Cox5a,7488.923046,0.078899412,0.833511603,1
ENSMUSG00000000093,Tbx2,570.041301,-0.343766879,0.491785765,0.996581077
ENSMUSG00000000094,Tbx4,1.170156839,0,1,NA
ENSMUSG00000000120,Ngfr,0.768524777,1.078793969,0.777730414,NA
ENSMUSG00000000125,Wnt3,0.263056515,0,1,NA
ENSMUSG00000000126,Wnt9a,14.00458714,0.925366079,0.373097908,0.975272261
ENSMUSG00000000127,Fer,105.4215499,-0.196298713,0.607734266,1
ENSMUSG00000000131,Xpo6,226.1382061,0.523198435,0.154642375,0.798083669
ENSMUSG00000000134,Tfe3,320.932901,0.055116525,0.88726293,1
ENSMUSG00000000142,Axin2,2.928353003,-1.831450978,0.385873664,NA
ENSMUSG00000000148,Brat1,132.3739541,-0.377264646,0.482109261,0.99473601
ENSMUSG00000000149,Gna12,1034.739744,-0.469974649,0.301101265,0.939536273
ENSMUSG00000000154,Slc22a18,4418.587169,0.038132309,0.929298659,1
ENSMUSG00000000157,Itgb2l,1.383750227,-2.305079542,0.419426238,NA
ENSMUSG00000000159,Igsf5,476.4945779,0.011034911,0.975768754,1
ENSMUSG00000000167,Pih1d2,38.60322964,-0.246258484,0.610982446,1
ENSMUSG00000000168,Dlat,1277.661109,-0.021198629,0.957541195,1
ENSMUSG00000000171,Sdhd,5502.52077,-0.102440569,0.700852604,1
ENSMUSG00000000182,Fgf23,1.129454849,0,1,NA
ENSMUSG00000000184,Ccnd2,2798.860466,-1.146193534,0.022926845,0.356848958
ENSMUSG00000000194,Gpr107,430.064081,-0.604542844,0.081440073,0.633151195
ENSMUSG00000000197,Nalcn,0.759330017,1.134149025,0.813628,NA
ENSMUSG00000000202,Btbd17,3.869229324,0,1,NA
ENSMUSG00000000204,Slfn4,95.06695174,6.037182918,0.000281651,0.018289353
ENSMUSG00000000216,Scnn1g,213.7799639,0.102412746,0.869060575,1
ENSMUSG00000000223,Drp2,0.612873371,0,1,NA
ENSMUSG00000000244,Tspan32,5.918554629,0.050893079,0.965106556,1
ENSMUSG00000000247,Lhx2,9.212431981,0,1,1
ENSMUSG00000000253,Gmpr,920.9036977,-0.293247629,0.336672665,0.961925334
ENSMUSG00000000266,Mid2,81.70815724,0.231722232,0.594406243,1
ENSMUSG00000000275,Trim25,907.3240918,0.272497217,0.457035923,0.99091735
ENSMUSG00000000276,Dgke,34.72518502,0.089877216,0.874293369,1
ENSMUSG00000000278,Scpep1,1712.709601,0.09952181,0.735196084,1
ENSMUSG00000000282,Mnt,75.01017002,1.029232966,0.023020415,0.356848958
ENSMUSG00000000290,Itgb2,58.97334262,-0.594851842,0.203478952,0.859426941
ENSMUSG00000000295,Hddc2,188.7712765,-0.187266107,0.625656605,1
ENSMUSG00000000296,Tpd52l1,194.2638923,-0.412959985,0.398796668,0.977861481
ENSMUSG00000000301,Pemt,25.21562427,0.238963651,0.662026987,1
ENSMUSG00000000303,Cdh1,476.2775498,0.227233888,0.701813417,1
ENSMUSG00000000305,Cdh4,25.78161549,2.332076832,0.001796611,0.07124356
ENSMUSG00000000308,Ckmt1,400.5318947,0.123953081,0.783768464,1
ENSMUSG00000000317,Bcl6b,739.8862481,1.239272824,0.003956484,0.12043331
ENSMUSG00000000318,Clec10a,3.488770571,-0.837264374,0.549796883,NA
ENSMUSG00000000320,Alox12,206.9574149,-0.46118929,0.310153383,0.946487547
ENSMUSG00000000326,Comt,2774.355401,-0.179710787,0.572965986,1
ENSMUSG00000000339,Rtca,774.5671255,-0.101333065,0.686387269,1
ENSMUSG00000000340,Dbt,568.342002,0.193832404,0.532647827,1
ENSMUSG00000000346,Dazap2,5484.929391,0.185217519,0.456719108,0.99091735
ENSMUSG00000000355,Mcts1,369.6012881,0.133402255,0.722512223,1
ENSMUSG00000000359,Rem1,128.8823835,-1.480459147,0.001607222,0.065490258
ENSMUSG00000000374,Trappc10,149.2203634,-0.396667869,0.398698171,0.977861481
ENSMUSG00000000378,Ccm2,733.3402819,-0.149204141,0.57501897,1
ENSMUSG00000000384,Tbrg4,94.08694297,0.457256398,0.179660417,0.83403859
ENSMUSG00000000385,Tmprss2,1037.157993,0.669267189,0.103243864,0.686727068
ENSMUSG00000000386,Mx1,656.8346665,0.378276705,0.587953048,1
